feature,selection_frequency,mean_rank_when_selected,mean_gain_share
F3063,0.1,26.0,0.0017538846040957659
F320,0.1,31.0,0.0017127053658443463
F3057,0.1,27.0,0.0017065243716167027
F3539,0.1,26.0,0.001644624047080515
F1598,0.1,27.0,0.001632701191110708
F2186,0.1,41.0,0.001626073076300215
F1858,0.1,28.0,0.00162186373796079
F1647,0.1,23.0,0.001621862101814737
F1604,0.1,24.0,0.001616964820979344
F24,0.1,25.0,0.0016130138875066337
F219,0.1,42.0,0.001600797302258156
F1585,0.1,28.0,0.0015877005856439637
F2752,0.1,35.0,0.0015870071356516536
F3594,0.1,34.0,0.0015704092458462048
F2737,0.1,36.0,0.0015636937308267766
F2891,0.1,35.0,0.001531812831018981
F3045,0.1,30.0,0.0015257019861269867
F1856,0.1,37.0,0.001512804370532136
F1429,0.1,26.0,0.0015043281329978656
F3526,0.1,22.0,0.0014974865982065547
F1064,0.1,27.0,0.0014932775663461016
F2740,0.1,33.0,0.001467554336553225
F294,0.1,43.0,0.0014539356259413545
F2524,0.1,28.0,0.0014537092603791445
F2303,0.1,32.0,0.0014495994572124135
F376,0.1,29.0,0.0014231693118703231
F467,0.1,33.0,0.0013970907259775794
F1214,0.1,26.0,0.0013722537857805027
F3650,0.1,46.0,0.0013695435710796488
F1814,0.1,29.0,0.001363094792479021
F1213,0.1,27.0,0.001361653637330662
F311,0.1,36.0,0.0013443699061331958
F1246,0.1,38.0,0.0013328393927611356
F1369,0.1,36.0,0.0013235436447538813
F2779,0.1,48.0,0.00132210936895853
F2388,0.1,35.0,0.0012971370894579652
F2017,0.1,39.0,0.0012850542822045532
F3749,0.1,41.0,0.0012827183226638542
F937,0.1,36.0,0.0012770091221809086
F1215,0.1,33.0,0.0012666412249350857
F1383,0.1,26.0,0.0012665117133720094
F2423,0.1,50.0,0.0012547038920020675
F1921,0.1,32.0,0.0012539701711148257
F2739,0.1,39.0,0.0012489559557279143
F2537,0.1,40.0,0.0012430052071555528
F2126,0.1,41.0,0.0012315872202864227
F2543,0.1,43.0,0.0012219208885573608
F3676,0.1,35.0,0.0012028239627258181
F2792,0.1,37.0,0.0011976219142684423
F50,0.1,44.0,0.0011971425221149153
F2441,0.1,45.0,0.00119006512983567
F3709,0.1,42.0,0.001176950003513828
F2785,0.1,54.0,0.0011743236290924657
F3643,0.1,30.0,0.0011718208440506322
F2378,0.1,45.0,0.0011608338470750384
F2293,0.1,37.0,0.0011524727379194648
F228,0.1,46.0,0.0011262887807159086
F109,0.1,39.0,0.0011249457073667496
F1927,0.1,47.0,0.001116085869756209
F322,0.1,46.0,0.0011052831197275413
F1321,0.1,40.0,0.001099579397566429
F3003,0.1,41.0,0.0010810795097295626
F460,0.1,34.0,0.001078372393045333
F2480,0.1,36.0,0.0010761360610594395
F1909,0.1,50.0,0.0010751528874887184
F2889,0.1,58.0,0.001071618577747305
F844,0.1,39.0,0.0010657705563592319
F420,0.1,44.0,0.0010619504315142094
F3056,0.1,43.0,0.001059929896586767
F160,0.1,42.0,0.00105180187865108
F62,0.1,59.0,0.0010510883065816142
F3079,0.1,52.0,0.0010342206421981401
F2644,0.1,48.0,0.001030267746115191
F1868,0.1,43.0,0.0010279332628275264
