feature,selection_frequency
F1277,0.13999999999999999
F2293,0.13999999999999999
F2683,0.13999999999999999
F3226,0.13999999999999999
F3258,0.13999999999999999
F3490,0.13999999999999999
F322,0.135
F85,0.13499999999999998
F1273,0.13499999999999998
F2138,0.13499999999999998
F2142,0.13499999999999998
F2291,0.13499999999999998
F366,0.13
F995,0.13
F2288,0.13
F2375,0.13
F2478,0.13
F2770,0.13
F3751,0.13
F280,0.125
F459,0.125
F2783,0.125
F2340,0.12499999999999997
F227,0.12000000000000002
F573,0.12000000000000002
F1151,0.12000000000000002
F2236,0.12000000000000002
F3892,0.12000000000000002
F56,0.12
F138,0.12
F161,0.12
F198,0.12
F562,0.12
F950,0.12
F1276,0.12
F2380,0.12
F2527,0.12
F3533,0.12
F150,0.11500000000000002
F368,0.11500000000000002
F467,0.11500000000000002
F2652,0.11500000000000002
F5,0.11499999999999999
F119,0.11499999999999999
F209,0.11499999999999999
F268,0.11499999999999999
F2292,0.11499999999999999
F2506,0.11499999999999999
F2735,0.11499999999999999
F3643,0.11499999999999999
F3749,0.11499999999999999
F154,0.11000000000000001
F421,0.11000000000000001
F465,0.11000000000000001
F570,0.11000000000000001
F1598,0.11000000000000001
F2152,0.11000000000000001
F2279,0.11000000000000001
F2343,0.11000000000000001
F2537,0.11000000000000001
F2582,0.11000000000000001
F2635,0.11000000000000001
F33,0.10999999999999999
F244,0.10500000000000001
F272,0.10500000000000001
F402,0.10500000000000001
F468,0.10500000000000001
F2044,0.10500000000000001
F2392,0.10500000000000001
F2446,0.10500000000000001
F2540,0.10500000000000001
F2551,0.10500000000000001
F206,0.10499999999999998
F2479,0.10499999999999998
F2682,0.10000000000000002
F93,0.1
F246,0.1
F265,0.1
F266,0.1
F365,0.1
F369,0.1
F464,0.1
F1103,0.1
F1167,0.1
F1861,0.1
F1922,0.1
F2143,0.1
F2349,0.1
F2379,0.1
F2694,0.1
F2744,0.1
F2819,0.1
F2967,0.1
F3486,0.1
F3829,0.1
F3899,0.1
F1706,0.09999999999999999
F1278,0.09500000000000001
F2,0.095
F113,0.095
F120,0.095
F187,0.095
F269,0.095
F378,0.095
F569,0.095
F1490,0.095
F2030,0.095
F2341,0.095
F2381,0.095
F2584,0.095
F2638,0.095
F2674,0.095
F2722,0.095
F3535,0.095
F3600,0.095
F3707,0.095
F2575,0.09499999999999999
F454,0.09000000000000001
F2440,0.09000000000000001
F2644,0.09000000000000001
F2785,0.09000000000000001
F3742,0.09000000000000001
F20,0.09
F63,0.09
F147,0.09
F151,0.09
F238,0.09
F321,0.09
F470,0.09
F523,0.09
F622,0.09
F1599,0.09
F1956,0.09
F2391,0.09
F2738,0.09
F3645,0.09
F3818,0.09
F3823,0.09
F428,0.085
F461,0.085
F525,0.085
F1188,0.085
F1967,0.085
F2139,0.085
F2534,0.085
F2598,0.085
F2997,0.085
F3817,0.085
F243,0.08499999999999999
F460,0.08499999999999999
F565,0.08499999999999999
F1603,0.08499999999999999
F1711,0.08499999999999999
F1820,0.08499999999999999
F2578,0.08499999999999999
F3073,0.08499999999999999
F2542,0.08000000000000002
F2684,0.08000000000000002
F241,0.08
F343,0.08
F367,0.08
F407,0.08
F453,0.08
F502,0.08
F604,0.08
F1475,0.08
F1927,0.08
F2289,0.08
F2518,0.08
F2524,0.08
F2776,0.08
F2991,0.08
F3093,0.08
F3097,0.08
F3098,0.08
F3752,0.08
F364,0.07999999999999999
F505,0.07999999999999999
F2779,0.07999999999999999
F3594,0.07999999999999999
F388,0.07500000000000001
F1259,0.07500000000000001
F2641,0.07500000000000001
F2671,0.07500000000000001
F2681,0.07500000000000001
F3537,0.07500000000000001
F278,0.075
F323,0.075
F410,0.075
F425,0.075
F504,0.075
F513,0.075
F528,0.075
F967,0.075
F1059,0.075
F1923,0.075
F2062,0.075
F2064,0.075
F2075,0.075
F2339,0.075
F2389,0.075
F2491,0.075
F2543,0.075
F2574,0.075
F2782,0.075
F2825,0.075
F2859,0.075
F3443,0.075
F3660,0.075
F3753,0.075
F3842,0.075
F103,0.07
F196,0.07
F226,0.07
F506,0.07
F580,0.07
F2420,0.07
F2586,0.07
F2669,0.07
F2889,0.07
F3091,0.07
F3871,0.07
F3894,0.07
F405,0.06999999999999999
F456,0.06999999999999999
F521,0.06999999999999999
F572,0.06999999999999999
F1043,0.06999999999999999
F2144,0.06999999999999999
F2345,0.06999999999999999
F2672,0.06999999999999999
F2741,0.06999999999999999
F2985,0.06999999999999999
F3487,0.06999999999999999
F3820,0.06999999999999999
F3825,0.06999999999999999
F3826,0.06999999999999999
F88,0.06500000000000002
F2429,0.06500000000000002
F2675,0.06500000000000002
F3635,0.06500000000000002
F55,0.065
F220,0.065
F288,0.065
F463,0.065
F471,0.065
F527,0.065
F1387,0.065
F1971,0.065
F2028,0.065
F2035,0.065
F2135,0.065
F2183,0.065
F2185,0.065
F2327,0.065
F2347,0.065
F2737,0.065
F3401,0.065
F3743,0.065
F3843,0.065
F3897,0.065
F3530,0.06499999999999999
F3593,0.06499999999999999
F423,0.06000000000000001
F531,0.06000000000000001
F1510,0.06000000000000001
F1605,0.06000000000000001
F2034,0.06000000000000001
F2350,0.06000000000000001
F2447,0.06000000000000001
F2576,0.06000000000000001
F2591,0.06000000000000001
F3110,0.06000000000000001
F3736,0.06000000000000001
F3814,0.06000000000000001
F3833,0.06000000000000001
F3887,0.06000000000000001
F60,0.06
F115,0.06
F360,0.06
F556,0.06
F844,0.06
F1382,0.06
F1492,0.06
F2031,0.06
F2079,0.06
F2136,0.06
F2282,0.06
F2342,0.06
F2382,0.06
