feature,target_corr,single_feature_cv_pr_auc,single_feature_cv_roc_auc,mutual_information_bits,label_reconstruction_rate,identifier_like,flag_high_corr,flag_high_single_ap,flag_label_copy,flag_perfect_separation,flag_identifier,suspicious
F215,0.07769274570254017,0.00909581308571528,0.5093354482849035,0.00114226627092066,0.0,false,false,false,false,false,false,false
F216,-0.017264375246792495,0.009295602709294193,0.49620133105065084,0.0009580454086529073,0.0,false,false,false,false,false,false,false
F217,0.045527973982312425,0.014735799115340708,0.6419454474275366,0.002539545182844101,0.0,false,false,false,false,false,false,false
F218,0.041556883215434284,0.014460642647868161,0.6350521749672476,0.0028256578441069845,0.0,false,false,false,false,false,false,false
F219,0.04650313140196668,0.015088216703068208,0.6529025595801896,0.003981317652090733,0.0,false,false,false,false,false,false,false
F220,0.031111600123378918,0.012468032216665637,0.5960727374815371,0.001894967292068358,0.0,false,false,false,false,false,false,false
F221,0.020558328629675365,0.012245147225701811,0.563478164931066,0.0016468449289684592,0.0,false,false,false,false,false,false,false
F222,0.047337827420347124,0.01421250061455916,0.6450176955522169,0.0031860277618481403,0.0,false,false,false,false,false,false,false
F223,0.05462903433470944,0.0166111896315176,0.6589728449472515,0.0031873213634368695,0.0,false,false,false,false,false,false,false
F224,0.060872353492784526,0.019198157917639423,0.6774287972731198,0.003857855786588189,0.0,false,false,false,false,false,false,false
F225,0.054647988398418675,0.016945715417217937,0.6667545329301441,0.004172745037928104,0.0,false,false,false,false,false,false,false
F226,0.04280215853223496,0.01442029620242576,0.6338545711941078,0.0031590739758179226,0.0,false,false,false,false,false,false,false
F227,0.039548889926677745,0.01622149846410516,0.6123763282381248,0.0028613680767225363,0.0,false,false,false,false,false,false,false
F228,0.056710575297336835,0.01644394447282014,0.6737071740735902,0.004337794868093369,0.0,false,false,false,false,false,false,false
F229,0.05462903433470944,0.0166111896315176,0.6589728449472515,0.0031873213634368695,0.0,false,false,false,false,false,false,false
