feature,target_corr,single_feature_cv_pr_auc,single_feature_cv_roc_auc,mutual_information_bits,label_reconstruction_rate,identifier_like,flag_high_corr,flag_high_single_ap,flag_label_copy,flag_perfect_separation,flag_identifier,suspicious
F94,0.022353525110567405,0.010140774263306026,0.517668968741948,0.0006946265215073742,0.0,false,false,false,false,false,false,false
F95,0.032424210161382735,0.008818319287058956,0.4810322386936451,0.00019786920081657668,0.0,false,false,false,false,false,false,false
F96,0.03290183877075235,0.010460955776669171,0.5236643310225256,0.0005201023463455143,0.0,false,false,false,false,false,false,false
F97,-0.03871423165538242,0.010609790443192667,0.5323846647695725,0.0016420019701873462,0.0,false,false,false,false,false,false,false
F98,-0.05560456099205475,0.010542486466790775,0.524232941235443,0.0013219896863965557,0.0,false,false,false,false,false,false,false
F99,-0.026239167107485712,0.009219457471986723,0.5153895489252521,0.0009782020359398811,0.0,false,false,false,false,false,false,false
F100,-0.0390891911622169,0.01072350464266434,0.5335030500030846,0.001713402188186761,0.0,false,false,false,false,false,false,false
F101,-0.05671954890195201,0.010541148837592095,0.5241121940470617,0.0013283216271327153,0.0,false,false,false,false,false,false,false
F102,-0.024629248685337574,0.009219800413548179,0.5153536012128337,0.0009724331637291769,0.0,false,false,false,false,false,false,false
F103,-0.003525291302509546,0.009325450155422466,0.4936838176321796,0.0010970280929984257,0.0,false,false,false,false,false,false,false
F104,0.049572364826678116,0.009513896138776585,0.5061281945986797,0.0010201975871762042,0.0,false,false,false,false,false,false,false
F105,-0.01641787667244746,0.009187558052999173,0.4877674864272935,0.0008750955901118561,0.0,false,false,false,false,false,false,false
F106,0.0022661436681514955,0.009327248248245781,0.49312839703251277,0.0011079393187291655,0.0,false,false,false,false,false,false,false
F107,0.0477871409303872,0.009515165020164779,0.506357546347708,0.0010188071854493892,0.0,false,false,false,false,false,false,false
F108,-0.007708588725516745,0.00906343135975533,0.4807016915756678,0.0008170869011763893,0.0,false,false,false,false,false,false,false
F109,0.05048673197029726,0.01591704410763519,0.6314265289935148,0.0028743483749543598,0.0,false,false,false,false,false,false,false
F110,0.047203361415747894,0.015343571899393681,0.6323506387609642,0.0030159554700400987,0.0,false,false,false,false,false,false,false
F111,0.05169868804023805,0.016572372263212117,0.640470622598012,0.0022182978393428428,0.0,false,false,false,false,false,false,false
F112,0.036924617415748644,0.014745987242778136,0.6243706684830141,0.0028911606556658656,0.0,false,false,false,false,false,false,false
F113,0.02819011452069525,0.01456782615805216,0.6050501136578081,0.002688284046940622,0.0,false,false,false,false,false,false,false
F114,0.05017466859595099,0.016157717446186312,0.6626086155612532,0.0033501088773049497,0.0,false,false,false,false,false,false,false
F115,0.057591085060538096,0.0176898982752008,0.6444275882271286,0.003607083787235412,0.0,false,false,false,false,false,false,false
F116,0.06057503719527836,0.0196374371225218,0.6637672802509862,0.004468975485563983,0.0,false,false,false,false,false,false,false
F117,0.05784208409539391,0.018266137576310404,0.6525637248097462,0.003162437156433769,0.0,false,false,false,false,false,false,false
F118,0.048825773081938736,0.016861417664632557,0.6545099216393943,0.0031087063283918503,0.0,false,false,false,false,false,false,false
